title,authors,editors,translator,date,rating,re-read,pages,non-fiction,comic,published
Tales from Earthsea,Ursula K. Le Guin,,,2009-01-01,+,,320,,,2001
Powers,Ursula K. Le Guin,,,2009-01-01,++,,502,,,2007
The Ladies of Grace Adieu and Other Stories,Susanna Clarke,,,2009-01-01,+,,256,,,2006
"An Anthology of Graphic Fiction, Cartoons, and True Stories: v .2",Various,Ivan Brunetti,,2009-01-01,,,400,,TRUE,2008
McSweeney's Quarterly Concern Issue 13,Various,Chris Ware,,2009-01-01,+,,263,,TRUE,2004
Amrita,Banana Yoshimoto,,,2009-01-01,-,,384,,,1994
Man in the Dark,Paul Auster,,,2009-01-01,,,192,,,2008
Dreams of the Rarebit Fiend,Winsor McCay,,,2009-02-01,,,200,,TRUE,1910
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,,,2009-02-01,,,450,TRUE,,2005
Matter,Iain M. Banks,,,2009-02-01,,,656,,,2008
Acme Novelty Library #18,Chris Ware,,,2009-02-01,+,,56,,TRUE,2007
Acme Novelty Library #19,Chris Ware,,,2009-02-01,+,,80,,TRUE,2008
The Man of My Dreams,Curtis Sittenfeld,,,2009-03-09,,,352,,,2000
The Amazing Adventures of Kavalier and Clay,Michael Chabon,,,2009-03-01,++,,643,,,2000
Gemma Bovery,Posy Simmonds,,,2009-03-01,+,,112,,TRUE,1999
Maps and Legends,Michael Chabon,,,2009-03-01,,,250,TRUE,,2008
Searoad,Ursula K. Le Guin,,,2009-04-01,,,200,,,1991
Very Far Away From Anywhere Else,Ursula K. Le Guin,,,2009-04-01,,,133,,,1976
Jeeves in the Offing,P. G. Wodehouse,,,2009-04-01,+,,208,,,1960
Make Room! Make Room!,Harry Harrison,,,2009-05-01,,,240,,,1966
PopCo,Scarlett Thomas,,,2009-06-01,,,464,,,2004
Changing Planes,Ursula K. Le Guin,,,2009-06-01,+,,224,,,2003
Lord of Light,Roger Zelazny,,,2009-07-01,,,304,,,1967
Lavinia,Ursula K. Le Guin,,,2009-07-01,+,,320,,,2008
"Bill, the Galactic Hero",Harry Harrison,,,2009-07-01,,TRUE,160,,,1965
"James Tiptree, Jr.: The Double Life of Alice B. Sheldon",Julie Phillips,,,2009-08-01,+,,576,TRUE,,2006
The City & The City,China Miéville,,,2009-08-01,+,,384,,,2009
The Slaves of Solitude,Patrick Hamilton,,,2009-08-01,++,,352,,,1947
"Bill, the Galactic Hero on The Planet of the Robot Slaves",Harry Harrison,,,2009-08-01,--,,240,,,1989
The Design of Everyday Things,Donald A. Norman,,,2009-09-01,,,368,TRUE,,1988
The Sportswriter,Richard Ford,,,2009-09-01,,,384,,,1986
The Eye of the Heron,Ursula K. Le Guin,,,2009-10-01,,,192,,,1978
The Perry Bible Fellowship Almanack,Nicholas Gurewitch,,,2009-10-01,+,,256,,TRUE,2009
Excellent Women,Barbara Pym,,,2009-11-01,,,304,,,1952
Best SF: 1969,Various,Harry Harrison,,2009-11-01,,,225,,,1969
Seeing,José Saramago,,,2009-11-01,++,,320,,,2004
Legend of a Suicide,David Vann,,,2009-11-01,-,,240,,,2008
The Philosophical Baby,Alison Gopnik,,,2009-12-01,,,304,TRUE,,1998
Bicycle Diaries,David Byrne,,,2009-12-01,,,320,TRUE,,2009
Thrill-power Overload,David Bishop,,,2009-12-01,,,256,TRUE,,2007
Stand on Zanzibar,John Brunner,,,2010-01-01,,,672,,,1968
Cold Earth,Sarah Moss,,,2010-01-01,+,,288,,,2009
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,,,2010-01-01,+,,380,,TRUE,2000
"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,,,2010-02-01,,,384,TRUE,,2001
You Don't Love Me Yet,Jonathan Lethem,,,2010-03-01,,,240,,,2007
Challenges for Game Designers,Brenda Brathwaite,,,2010-03-01,,,352,TRUE,,2009
Invisible Man,Ralph Ellison,,,2010-03-01,+,,624,,,1952
Magic for Beginners,Kelly Link,,,2010-03-01,++,,304,,,2005
Trillion Year Spree: The History of Science Fiction,Brian Aldiss,,,2010-04-01,,,640,TRUE,,1986
The Brief Wondrous Life of Oscar Wao,Junot Díaz,,,2010-04-01,+,,352,,,2007
Wild Seed,Octavia E. Butler,,,2010-05-01,+,,256,,,1980
Evolution,Stephen Baxter,,,2010-05-01,--,,768,,,2002
Revolutionary Road,Richard Yates,,,2010-05-01,+,,352,,,1961
The Cave,José Saramago,,,2010-06-01,++,,304,,,2000
The Complete Cosmicomics,Italo Calvino,,,2010-06-01,+,,432,,,1967
